nose_x,nose_y,L_eye_x,L_eye_y,R_eye_x,R_eye_y,L_ear_x,L_ear_y,R_ear_x,R_ear_y,L_shoulder_x,L_shoulder_y,R_shoulder_x,R_shoulder_y
448.5202,113.9868,374.3363,111.7786,511.2179,119.4454,334.4493,114.3995,606.8884,318.0109,251.9205,313.8148,406.7853,158.3609
448.2275,113.8531,373.151,111.2378,510.1339,119.309,332.2472,113.9559,608.4527,317.8135,251.4315,312.7366,402.9767,159.7281
443.6987,114.9551,369.4795,113.6225,506.4515,119.1703,330.0936,116.9743,606.5162,315.2813,251.5647,311.0804,383.9394,158.9789
424.799,114.3892,349.4628,113.0562,485.862,119.9123,308.3791,117.8569,582.4475,315.5198,234.5094,310.7355,382.7255,157.4336
424.9138,112.7144,347.5547,111.5373,487.2998,119.61,305.3885,117.9586,583.701,309.7127,233.6234,307.2808,384.4927,156.3993
426.5791,111.5577,349.8168,110.6494,488.3242,118.7495,307.6402,117.5783,580.957,311.1317,235.259,304.3931,382.2872,153.4342
425.3884,110.3944,349.3533,106.3411,487.7616,119.0085,307.3041,110.3645,580.5962,312.2932,226.2244,301.7394,380.2132,149.7181
423.359,108.7625,347.5071,104.5729,482.3842,120.9398,304.9864,111.6894,571.7786,317.3619,222.181,304.7154,378.9915,149.9369
422.5031,109.567,347.7768,104.4181,481.0101,121.9034,305.5125,109.5592,564.5012,314.9618,218.2438,304.4012,377.805,151.5509
422.3522,110.2165,345.9996,103.9688,481.8342,122.3879,302.923,108.2397,569.1221,322.901,217.767,306.4775,372.2506,152.5523
413.0503,111.1724,340.3797,106.9856,471.9938,119.5635,299.4315,111.4589,570.3143,311.882,213.2453,306.924,357.116,150.4588
397.8468,109.968,324.7136,107.8069,456.4078,121.8759,284.1866,117.663,554.5541,318.6909,205.5176,313.2083,356.3421,150.4483
397.2121,109.9269,323.7621,107.5077,456.2502,121.6938,283.1987,117.096,552.4503,317.8331,208.6793,311.4724,354.2922,151.4387
394.5406,110.4583,322.3228,108.8851,454.2218,121.1074,283.2119,118.2109,553.9478,318.652,203.9914,314.3059,353.9864,150.8795
394.3159,110.7601,322.6618,108.2802,453.6758,121.5763,284.1294,116.8819,555.588,318.0901,207.7837,312.4911,355.0356,153.2656
393.9623,111.9751,321.9093,111.8257,451.4957,121.3803,281.9251,122.1258,554.069,319.2653,205.0908,317.9127,356.587,154.7303
392.1529,114.1161,323.744,114.6791,448.1324,121.7322,285.9022,125.6051,552.73,316.6444,213.7349,314.2597,354.2073,157.3049
393.5717,115.7061,320.5406,114.2664,451.6035,123.011,279.752,121.6366,555.593,320.1587,206.0489,315.6201,352.7675,157.4139
390.3623,115.6976,319.582,114.6878,450.2405,122.5647,281.7122,123.7769,560.5073,317.623,213.514,311.9803,351.8623,159.2759
389.4477,116.2114,318.3223,114.965,448.0677,122.1094,279.7711,122.6815,562.8431,324.4096,209.4764,319.4471,350.5116,160.751
388.9178,117.1863,316.5837,116.0139,448.8197,123.8044,277.9041,124.6077,562.9071,325.5044,209.5841,321.5408,349.4627,158.2979
389.1096,116.2437,316.1487,115.3927,449.1227,123.1067,276.8209,122.575,555.2972,321.5584,204.9799,316.7918,349.5698,159.9588
387.214,116.8284,316.2283,116.2568,445.7454,121.2828,277.4867,122.2644,553.8715,323.2382,201.6069,322.7404,347.5261,159.9427
384.6605,116.7923,314.5622,115.893,443.2684,121.7387,276.8202,122.9143,555.6876,320.8276,207.3914,319.5755,347.4503,161.1641
384.6172,117.9562,314.3288,117.2343,443.6314,122.3204,276.7398,123.9888,556.5792,322.2202,207.8085,318.4432,346.9951,161.8693
383.7418,117.539,312.9178,117.8852,443.0006,122.0428,275.0002,126.4714,561.3258,326.2295,205.8421,324.2065,345.4992,161.1929
