nose_x,nose_y,L_eye_x,L_eye_y,R_eye_x,R_eye_y,L_ear_x,L_ear_y,R_ear_x,R_ear_y,L_shoulder_x,L_shoulder_y,R_shoulder_x,R_shoulder_y
433.835,229.5539,481.1239,174.8376,387.5368,175.6652,541.2925,164.5154,329.1207,166.1155,586.5658,320.6629,241.6089,324.8609
434.6265,228.9408,481.0956,174.9865,389.8935,176.2546,543.8268,165.8441,335.2408,167.9678,585.0787,314.1683,254.7565,321.054
434.1536,228.992,480.7643,174.3326,388.3965,175.659,541.4693,164.5239,331.329,167.2672,589.2967,319.9018,246.4899,324.4414
436.0289,228.8186,482.0404,173.2446,390.2966,175.4178,543.5362,161.35,334.3863,165.7,588.1176,316.025,250.9128,325.4427
434.3333,228.8546,480.9406,174.857,388.4189,175.8016,540.4692,165.2888,330.6004,167.1752,588.8535,317.7959,244.2739,324.4071
405.6595,208.8432,449.0524,158.575,360.5095,161.8625,509.1305,164.7724,311.2301,172.4424,570.902,319.9972,271.223,319.7089
409.6905,213.1704,455.0744,163.5962,366.1235,165.1711,517.1785,172.0175,317.7502,175.435,579.8912,322.6412,275.4846,321.7533
412.5174,214.1881,457.496,163.5247,366.8992,165.8753,517.9672,169.8019,315.9231,175.2411,574.5566,322.3834,273.6956,319.6921
410.0816,213.8424,454.4396,163.2082,364.8498,165.8033,515.1309,167.7742,314.7582,173.7488,570.9093,320.5612,272.5199,318.1701
410.8561,213.3918,455.7222,165.1963,367.3046,166.3523,515.2277,173.7686,317.9044,176.0985,572.5497,321.13,273.807,317.8795
410.9329,214.6221,455.2039,165.5523,367.2445,167.2959,514.3188,171.1873,317.7848,174.7215,570.4542,321.6488,273.5014,318.8491
410.0128,213.5383,454.2931,163.9955,365.0711,165.839,512.9771,170.0368,314.3358,174.1151,570.2402,319.9708,270.8742,316.6895
408.42,215.0867,451.2169,164.5847,363.1794,169.1336,511.78,169.7332,314.2606,180.1821,573.8417,323.0704,274.1073,322.3769
406.8316,212.9227,451.1942,162.197,361.7307,165.5538,512.7529,168.8581,312.2332,176.3812,573.3772,322.6642,269.515,320.9228
404.0982,211.2073,447.6146,161.1522,359.0897,163.9833,508.2753,168.6671,310.1344,175.6851,569.1959,326.7584,269.0382,319.603
411.228,212.7691,455.8719,164.0929,367.3076,165.9474,516.2538,173.4872,318.0111,177.3895,574.4005,322.5792,274.3328,320.7177
408.5688,213.5275,452.5749,162.2728,363.4986,165.9051,514.5919,166.3243,314.6061,174.6223,576.2029,322.6309,273.1857,319.5784
409.3578,210.9795,452.5389,162.2551,364.4859,165.0767,512.3101,170.8403,315.0011,177.7372,574.4471,323.5456,273.8228,319.4557
407.9354,211.3434,451.4676,160.6179,362.4397,164.9122,511.9803,167.1557,313.3661,176.9346,571.9175,320.0916,274.8694,322.0325
409.2927,211.4361,452.4818,161.7809,364.1282,165.5652,512.5207,169.8552,314.7597,178.6912,573.3723,323.42,273.7785,322.4695
407.9374,209.0545,451.3738,158.3407,362.2714,162.5241,513.2382,165.8638,313.1789,175.6844,576.9619,322.1983,272.3367,321.9857
407.7734,207.7315,451.7101,158.2369,363.0099,161.4317,512.8804,168.3108,314.2269,175.657,574.7035,322.7162,273.9789,321.7869
370.2939,304.5594,414.2964,257.6129,324.1799,255.719,471.4398,269.696,266.1181,268.2371,546.4539,419.9805,204.4518,412.6184
362.9236,305.6609,407.3579,257.4087,317.8477,256.7895,469.4368,268.0682,263.6184,269.185,554.1562,424.0061,199.4335,417.3636
362.8393,305.9727,407.5301,258.0776,317.8435,256.5849,468.6212,268.9313,262.8928,268.1907,550.3704,422.473,199.2741,415.4402
363.1519,305.1444,407.4867,257.6194,317.6504,256.7474,468.4868,269.7894,262.55,270.5447,550.0105,422.051,202.1107,415.2263
