nose_x,nose_y,L_eye_x,L_eye_y,R_eye_x,R_eye_y,L_ear_x,L_ear_y,R_ear_x,R_ear_y,L_shoulder_x,L_shoulder_y,R_shoulder_x,R_shoulder_y
537.799, 130.2371, 340.8711, 128.1502, 592.457, 276.6347, 245.6721, 285.8246, 446.2601, 213.2516, 488.4958, 162.3077, 402.6493, 161.2664
539.4221, 133.4161, 343.3764, 130.0938, 594.9199, 286.223, 248.4437, 284.988, 446.054, 212.9237, 488.4, 162.297, 402.494, 161.4583
538.6459, 132.0651, 342.5739, 128.9085, 590.8671, 276.4388, 247.9218, 282.3978, 424.5309, 183.8573, 460.9928, 142.2239, 387.0271, 143.5556
509.694, 130.9015, 341.8738, 134.766, 583.9695, 261.9438, 281.422, 267.4247, 430.7991, 183.3824, 468.3588, 141.093, 391.046, 142.7012
515.3687, 135.6197, 341.2498, 139.729, 580.6648, 265.2665, 280.5032, 272.6766, 431.4926, 183.5472, 467.7266, 140.0505, 390.5544, 143.561
515.0015, 129.9607, 340.6462, 138.7507, 584.193, 262.5809, 282.6013, 270.1096, 431.5569, 179.2704, 468.4759, 137.4094, 392.5378, 139.075
515.606, 130.2555, 344.1945, 134.6388, 583.0, 264.4576, 282.6363, 269.1806, 432.0768, 181.5724, 469.2569, 139.0596, 391.3908, 141.4247
515.541, 133.2935, 340.2787, 139.3262, 580.6477, 262.7619, 281.59, 271.5057, 432.7067, 181.2728, 468.931, 138.6807, 391.9323, 141.8712
515.9579, 130.4766, 342.2814, 138.7148, 581.0282, 260.2666, 284.1419, 269.3076, 433.5913, 183.5889, 470.4904, 140.7432, 393.1207, 141.5887
515.6087, 130.5651, 341.183, 133.8129, 582.51, 264.3493, 279.7938, 269.0064, 431.6501, 183.8954, 469.4389, 142.379, 391.6658, 143.1024
516.1453, 136.6064, 341.1012, 139.2738, 581.4606, 265.4511, 281.5078, 270.3567, 432.5374, 187.5493, 470.2028, 146.7749, 393.935, 146.6348
515.7456, 137.8404, 343.9643, 138.2935, 580.5847, 263.7518, 280.3551, 266.6253, 434.0153, 188.5263, 471.6226, 146.6861, 394.6793, 147.3645
517.981, 136.6458, 344.4232, 138.8228, 582.0994, 264.9158, 281.6461, 268.2693, 434.3967, 186.3712, 471.2582, 144.8798, 394.4644, 146.6159
517.157, 137.3119, 343.938, 142.1094, 581.8148, 262.2741, 282.5856, 269.45, 434.229, 187.7734, 471.8544, 145.9913, 395.2771, 146.9059
519.7537, 136.9883, 347.1903, 139.9468, 586.3968, 266.9978, 284.5454, 268.7109, 435.3371, 187.8736, 472.5759, 146.3322, 395.6826, 147.2489
518.7217, 137.9355, 345.4464, 140.861, 581.8115, 266.6523, 283.4199, 269.1546, 427.8494, 191.4093, 463.5842, 150.7541, 390.08, 151.6743
509.0416, 138.043, 342.3507, 141.1446, 578.5853, 265.0626, 281.7748, 272.4182, 433.0226, 194.7359, 471.3004, 153.1164, 394.0445, 152.2163
517.1937, 141.6217, 342.8575, 140.4458, 582.2512, 271.9073, 279.4807, 273.0283, 436.689, 203.3593, 473.7236, 159.8522, 395.6734, 160.9563
519.0791, 143.881, 341.9891, 147.6601, 582.9023, 270.051, 280.9152, 275.6687, 435.5255, 197.8255, 474.0132, 154.7856, 396.0264, 155.675
521.2513, 143.1002, 345.4472, 145.3072, 577.3953, 265.3083, 283.022, 274.9141, 441.275, 195.3458, 478.732, 151.5901, 400.1513, 152.3495
